Name,Protein,Carbs,Fat,Fiber,Sugar,Water,Sodium,Calcium,Iron,Potassium,Cholesterol,Calories
"Cheese sandwich, American cheese, on white bread, with butter",10.77,28.7,19.22,1.2,5.03,37.52,790,610,2.08,170,44,330.86
"Cheese sandwich, American cheese, on white bread, with mayonnaise",10.82,28.72,19.24,1.2,5.09,37.4,786,608,2.11,170,33,331.32
"Cheese sandwich, American cheese, on whole wheat bread, no spread",13.33,30.36,11.83,3.2,5.63,40.29,799,661,2.24,232,32,281.23
"Cheese sandwich, American cheese, on whole wheat bread, with butter",11.79,26.74,19.42,2.8,4.96,38.16,782,584,1.98,207,44,328.9
"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",11.84,26.77,19.44,2.8,5.02,38.04,779,582,2.0,207,33,329.4
"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",16.3,27.72,16.34,3.2,3.2,36.8,541,386,1.92,143,41,323.14
"Cheese sandwich, Cheddar cheese, on wheat bread, with butter",14.4,24.42,23.38,2.8,2.82,35.09,556,342,1.69,128,52,365.7
"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",14.45,24.45,23.4,2.8,2.88,34.98,553,340,1.71,128,41,366.2
"Cheese sandwich, Cheddar cheese, on white bread, no spread",15.14,29.95,16.11,1.4,3.28,36.07,550,415,2.04,101,41,325.35
"Cheese sandwich, Cheddar cheese, on white bread, with butter",13.38,26.38,23.18,1.2,2.89,34.45,564,368,1.8,91,52,367.66
"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise",13.43,26.4,23.2,1.2,2.95,34.33,560,366,1.82,91,41,368.12
"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",16.3,27.72,16.34,3.2,3.2,36.8,541,386,1.92,143,41,323.14
"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter",14.4,24.42,23.38,2.8,2.82,35.09,556,342,1.69,128,52,365.7
"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",14.45,24.45,23.4,2.8,2.88,34.98,553,340,1.71,128,41,366.2
"Cheese sandwich, NFS",12.17,32.58,11.61,1.4,5.71,39.56,807,690,2.37,190,32,283.49
"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",13.95,31.08,8.14,3.2,6.36,43.06,767,313,1.94,247,22,253.38
"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter",12.34,27.38,16.18,2.8,5.6,40.6,754,278,1.7,220,35,304.5
"Cheese sandwich, reduced fat American cheese, on white bread, no spread",12.79,33.31,7.92,1.4,6.44,42.33,775,342,2.06,205,22,255.68
"Cheese sandwich, reduced fat American cheese, on white bread, with butter",11.32,29.33,15.98,1.2,5.67,39.95,762,303,1.81,183,35,306.42
"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise",11.37,29.36,16.0,1.2,5.74,39.83,758,302,1.84,182,24,306.92
"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",13.95,31.08,8.14,3.2,6.36,43.06,767,313,1.94,247,22,253.38
"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter",12.34,27.38,16.18,2.8,5.6,40.6,754,278,1.7,220,35,304.5
"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise",12.38,27.4,16.2,2.8,5.66,40.48,751,276,1.73,219,24,304.92
"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",12.38,27.4,16.2,2.8,5.66,40.48,751,276,1.73,219,24,304.92
"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",17.97,27.82,10.74,3.2,3.17,39.97,531,408,1.9,137,31,279.82
"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with butter",15.87,24.5,18.46,2.8,2.79,37.88,547,362,1.68,123,43,327.62
"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise",15.92,24.53,18.48,2.8,2.86,37.76,543,360,1.7,123,33,328.12
"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",16.81,30.04,10.52,1.4,3.25,39.24,539,437,2.03,95,31,282.08
"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with butter",14.85,26.46,18.26,1.2,2.86,37.23,554,387,1.78,86,43,329.58
"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise",14.9,26.48,18.28,1.2,2.92,37.11,551,386,1.81,86,33,330.04
"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",17.97,27.82,10.74,3.2,3.17,39.97,531,408,1.9,137,31,279.82
"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with butter",15.87,24.5,18.46,2.8,2.79,37.88,547,362,1.68,123,43,327.62
"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",15.92,24.53,18.48,2.8,2.86,37.76,543,360,1.7,123,33,328.12
Cheese sauce,3.24,7.66,13.02,0.3,0.29,74.1,651,74,0.53,24,8,160.78
"Cheese sauce, for use with vegetables",4.69,9.62,6.8,0.1,0.07,76.09,908,145,0.08,16,20,118.44
Cheese souffle,9.45,6.29,15.7,0.1,2.46,66.86,327,192,0.74,132,144,204.26
"Cheese spread, American or Cheddar cheese base",16.41,8.73,21.23,0.0,7.32,47.65,1625,562,0.33,242,55,291.63
"Cheese spread, American or Cheddar cheese base, reduced fat",13.41,10.71,8.88,0.0,7.06,61.82,1102,557,0.36,250,38,176.4
"Cheese spread, Swiss cheese base",16.41,8.73,21.23,0.0,7.32,47.65,1625,562,0.33,242,55,291.63
"Cheese spread, cream cheese, light",7.85,8.13,15.28,0.0,5.82,66.72,359,148,0.17,247,54,201.44
"Cheese spread, cream cheese, regular",7.1,3.5,28.6,0.0,3.5,58.5,436,71,1.13,112,90,299.8
"Cheese spread, pressurized can",16.41,8.73,21.23,0.0,7.32,47.65,1625,562,0.33,242,55,291.63
"Cheese turnover, Puerto Rican style",9.84,36.92,25.23,1.3,0.2,24.7,762,261,2.42,67,34,414.11
"Cheese,  with wine",16.09,8.85,23.06,0.0,6.24,45.07,1279,1375,0.95,295,78,307.3
"Cheese, American",16.09,8.85,23.06,0.0,6.24,45.07,1279,1375,0.95,295,78,307.3
"Cheese, American and Swiss blends",18.0,5.27,30.6,0.0,2.63,39.6,1660,866,0.48,149,98,368.48
"Cheese, American, nonfat or fat free",21.05,10.53,0.0,0.0,5.26,65.47,1316,789,0.0,393,26,126.32
"Cheese, American, reduced fat",17.6,10.6,14.1,0.0,8.02,51.8,1201,529,0.2,330,53,239.7
"Cheese, American, reduced sodium",22.2,1.6,31.19,0.0,0.45,42.8,7,616,0.39,162,94,375.91
"Cheese, Blue or Roquefort",21.4,2.34,28.74,0.0,0.5,42.41,1146,528,0.31,256,75,353.62
"Cheese, Brick",23.24,2.79,29.68,0.0,0.51,41.11,560,674,0.43,136,94,371.24
"Cheese, Brie",20.75,0.45,27.68,0.0,0.45,48.42,629,184,0.5,152,100,333.92
"Cheese, Camembert",19.8,0.46,24.26,0.0,0.46,51.8,842,388,0.33,187,72,299.38
"Cheese, Cheddar",23.3,2.44,34.0,0.0,0.33,36.6,654,707,0.16,77,100,408.96
"Cheese, Cheddar, nonfat or fat free",32.14,7.14,0.0,0.0,0.0,57.0,1000,893,0.0,66,18,157.12
"Cheese, Cheddar, reduced fat",27.35,2.67,20.41,0.0,0.26,44.29,628,761,0.12,63,76,303.77
"Cheese, Cheddar, reduced sodium",24.35,1.91,32.62,0.0,0.49,38.98,21,703,0.72,112,100,398.62
"Cheese, Colby",23.76,2.57,32.11,0.0,0.52,38.2,604,685,0.76,127,95,394.31
"Cheese, Colby Jack",24.12,1.62,31.2,0.0,0.51,39.6,602,716,0.74,104,92,383.76
"Cheese, Feta",14.21,3.88,21.49,0.0,0.0,55.22,1139,493,0.65,62,89,265.77
"Cheese, Fontina",25.6,1.55,31.14,0.0,1.55,37.92,800,550,0.23,64,116,388.86
"Cheese, Gouda or Edam",24.94,2.22,27.44,0.0,2.22,41.46,819,700,0.24,121,114,355.6
"Cheese, Gruyere",29.81,0.36,32.34,0.0,0.36,33.19,714,1011,0.17,81,110,411.74
"Cheese, Limburger",20.05,0.49,27.25,0.0,0.49,48.42,800,497,0.13,128,90,327.41
"Cheese, Mexican blend",23.54,1.75,28.51,0.0,1.23,42.48,607,659,0.59,85,95,357.75
"Cheese, Mexican blend, reduced fat",24.69,3.41,19.4,0.0,0.56,48.2,776,1146,0.13,93,62,287.0
"Cheese, Monterey",24.48,0.68,30.28,0.0,0.5,41.01,600,746,0.72,81,89,373.16
"Cheese, Monterey, reduced fat",28.2,0.7,21.6,0.0,0.56,46.0,781,705,0.72,81,65,310.0
"Cheese, Mozzarella, NFS",23.7,4.44,20.4,0.0,1.81,47.7,699,693,0.2,116,65,296.16
"Cheese, Mozzarella, nonfat or fat free",31.7,3.5,0.0,1.8,1.48,60.2,743,961,0.31,106,18,140.8
"Cheese, Mozzarella, part skim",23.7,4.44,20.4,0.0,1.81,47.7,699,693,0.2,116,65,296.16
"Cheese, Mozzarella, reduced sodium",27.5,3.1,17.1,0.0,1.23,49.9,16,731,0.25,95,54,276.3
"Cheese, Muenster",23.41,1.12,30.04,0.0,1.12,41.77,628,717,0.41,134,96,368.48
"Cheese, Muenster, reduced fat",24.7,3.5,17.6,0.0,3.5,50.5,600,529,0.41,134,63,271.2
"Cheese, NFS",20.42,5.0,29.62,0.0,2.69,39.99,904,974,0.48,164,91,368.26
"Cheese, Parmesan, dry grated",29.6,12.4,28.0,0.0,0.07,22.8,1750,884,0.45,184,87,420.0
"Cheese, Parmesan, dry grated, fat free",40.0,40.0,5.0,0.0,1.5,8.6,1150,800,5.0,600,20,365.0
"Cheese, Parmesan, dry grated, reduced fat",34.8,26.2,16.5,0.0,0.78,15.7,1450,842,2.72,392,54,392.5
"Cheese, Parmesan, hard",29.6,12.4,28.0,0.0,0.07,22.8,1750,884,0.45,184,87,420.0
"Cheese, Port du Salut",24.94,2.22,27.44,0.0,2.22,41.46,819,700,0.24,121,114,355.6
"Cheese, Provolone",25.58,2.14,26.62,0.0,0.56,40.95,727,756,0.52,138,69,350.46
"Cheese, Ricotta",9.6,6.0,9.46,0.0,0.29,73.66,102,248,0.27,178,40,147.54
"Cheese, Swiss",27.0,1.44,31.0,0.0,0.0,37.6,185,890,0.13,71,93,392.76
"Cheese, Swiss, nonfat or fat free",28.4,3.4,0.0,0.0,1.33,63.6,1000,961,0.17,111,18,127.2
"Cheese, Swiss, reduced fat",28.4,3.4,5.1,0.0,1.33,59.6,199,961,0.17,111,35,173.1
"Cheese, Swiss, reduced sodium",28.4,3.4,27.4,0.0,1.31,37.8,14,961,0.17,111,92,373.8
"Cheese, cottage cheese, with gelatin dessert",6.55,8.37,2.32,0.0,7.66,81.91,204,46,0.05,56,9,80.56
"Cheese, cottage cheese, with gelatin dessert and fruit",5.11,9.41,1.77,0.4,8.52,82.96,156,37,0.13,77,7,74.01
"Cheese, cottage cheese, with gelatin dessert and vegetables",7.71,6.27,2.85,0.2,5.37,82.12,230,58,0.08,90,11,81.57
"Cheese, cottage, NFS",11.0,4.31,2.3,0.0,4.1,81.1,321,103,0.13,120,12,81.94
"Cheese, cottage, creamed, large or small curd",11.12,3.38,4.3,0.0,2.67,79.79,315,83,0.07,104,17,96.7
"Cheese, cottage, dry curd",10.34,6.66,0.29,0.0,1.85,81.01,372,86,0.15,137,7,70.61
"Cheese, cottage, low fat",11.0,4.31,2.3,0.0,4.1,81.1,321,103,0.13,120,12,81.94
"Cheese, cottage, lowfat, lactose reduced",11.0,4.31,2.3,0.0,4.1,81.1,321,103,0.13,120,12,81.94
"Cheese, cottage, lowfat, low sodium",12.4,2.7,1.0,0.0,2.7,83.5,13,61,0.14,86,4,69.4
"Cheese, cottage, lowfat, with fruit",7.32,9.99,1.54,0.4,8.81,80.24,209,71,0.18,113,8,83.1
"Cheese, cottage, salted, dry curd",10.24,6.59,0.29,0.0,1.83,80.2,755,86,0.15,136,7,69.93
"Cheese, cottage, with fruit",9.41,4.94,1.96,0.2,4.61,82.55,273,88,0.15,116,10,75.04
"Cheese, cottage, with vegetables",9.78,5.63,1.98,0.7,3.95,81.42,278,91,0.23,127,10,79.46
"Cheese, goat",21.58,0.12,29.84,0.0,0.12,45.52,415,298,1.62,158,79,355.36
"Cheese, processed cheese food",16.09,8.85,23.06,0.0,6.24,45.07,1279,1375,0.95,295,78,307.3
"Cheese, processed, with vegetables",14.3,3.91,32.13,0.1,1.97,46.09,922,393,0.21,105,94,362.01
"Cheese, provolone, reduced fat",24.7,3.5,17.6,0.0,0.55,50.6,615,756,0.52,138,55,271.2
Cheeseburger (Burger King),13.94,23.87,11.82,1.0,4.85,47.97,508,239,2.46,211,37,257.62
Cheeseburger (McDonalds),13.49,25.46,12.9,1.9,5.24,45.78,628,123,2.25,184,39,271.9
Cheeseburger slider,18.13,17.81,16.47,0.6,2.8,45.4,437,174,2.52,222,56,291.99
"Cheeseburger slider, from fast food",16.22,24.9,14.38,0.9,3.91,42.1,513,238,2.57,189,44,293.9
"Cheeseburger submarine sandwich with lettuce, tomato and spread",12.29,21.49,5.34,1.2,3.41,58.88,444,183,2.02,183,24,183.18
"Cheeseburger, NFS",17.92,18.62,16.21,0.6,2.92,45.05,444,179,2.53,219,54,292.05
"Cheeseburger, from fast food, 1 large patty",18.79,15.15,17.68,0.5,2.47,46.06,460,196,2.4,227,60,294.88
"Cheeseburger, from fast food, 1 medium patty",17.92,18.62,16.21,0.6,2.92,45.05,444,179,2.53,219,54,292.05
"Cheeseburger, from fast food, 1 small patty",16.48,23.82,14.88,0.8,3.78,42.36,519,248,2.52,191,46,295.12
"Cheeseburger, from school cafeteria",18.89,23.87,8.64,2.4,3.41,46.6,328,178,2.49,240,42,248.8
"Cheeseburger, on wheat bun, 1 large patty",19.35,14.05,17.71,1.4,2.28,46.47,453,210,2.22,250,60,292.99
"Cheeseburger, on wheat bun, 1 medium patty",18.62,17.24,16.24,1.7,2.69,45.57,435,196,2.3,247,54,289.6
"Cheeseburger, on wheat bun, 1 small patty",18.39,18.06,16.15,1.8,2.86,44.96,458,224,2.26,242,53,291.15
"Cheeseburger, on white bun, 1 large patty",18.79,15.15,17.68,0.5,2.47,46.06,460,196,2.4,227,60,294.88
"Cheeseburger, on white bun, 1 medium patty",17.92,18.62,16.21,0.6,2.92,45.05,444,179,2.53,219,54,292.05
"Cheeseburger, on white bun, 1 small patty",17.66,19.5,16.12,0.7,3.1,44.42,467,205,2.5,212,53,293.72
Cheesecake,5.5,25.5,22.5,0.4,21.8,45.6,438,51,0.63,90,55,326.5
Cheesecake with fruit,3.63,18.62,13.92,1.0,15.27,63.12,269,37,0.55,114,34,214.28
"Cheesecake, chocolate",5.97,32.55,25.82,1.0,27.81,34.63,440,55,0.97,130,55,386.46
"Cherries, canned",0.71,18.79,0.14,1.4,17.42,80.09,1,10,0.34,121,0,79.26
"Cherries, dried",1.25,80.45,0.73,2.5,67.15,16.6,13,38,0.68,376,0,333.37
"Cherries, frozen",1.06,16.01,0.2,2.1,12.82,82.25,0,13,0.36,222,0,70.08
"Cherries, maraschino",0.22,41.97,0.21,3.2,38.77,57.27,4,54,0.43,21,0,170.65
"Cherries, raw",1.06,16.01,0.2,2.1,12.82,82.25,0,13,0.36,222,0,70.08
"Cherry cobbler, baby food, junior",0.3,19.2,0.1,0.2,10.39,79.8,0,5,0.1,45,0,78.9
Cherry pie filling,0.6,28.59,0.91,0.9,24.96,69.57,52,9,1.08,76,0,124.95
"Cherry vanilla pudding, baby food, strained",0.2,18.1,0.25,0.3,13.06,81.25,0,5,0.18,34,10,75.45
Chestnuts,3.17,52.96,2.2,5.1,10.6,40.48,2,29,0.91,592,0,244.32
"Chewing gum, NFS",0.0,95.37,0.37,2.4,19.82,3.23,5,14,0.0,1,0,384.81
"Chewing gum, regular",0.0,96.7,0.3,2.4,66.08,2.6,1,0,0.0,2,0,389.5
"Chewing gum, sugar free",0.0,94.8,0.4,2.4,0.0,3.5,7,20,0.0,0,0,382.8
Chia seeds,18.29,28.88,42.16,27.3,1.55,6.96,30,255,5.73,813,0,568.12
"Chicken ""wings"" with hot sauce, from fast food / restaurant",16.78,6.18,20.14,0.1,2.23,54.72,847,39,0.79,213,101,273.1
"Chicken ""wings"" with hot sauce, from other sources",17.02,5.08,19.93,0.1,2.3,56.05,817,36,0.78,215,103,267.77
"Chicken ""wings"" with hot sauce, from precooked",17.57,2.5,19.43,0.0,2.44,59.13,747,27,0.75,221,106,255.15
"Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant",16.95,13.13,17.39,0.2,7.55,50.53,761,44,0.88,257,92,276.83
"Chicken ""wings"" with other sauces or seasoning, from other sources",17.19,12.01,17.17,0.2,7.62,51.86,731,40,0.87,259,93,271.33
"Chicken ""wings"" with other sauces or seasoning, from precooked",17.74,9.42,16.67,0.2,7.76,54.96,660,32,0.84,265,97,258.67
"Chicken ""wings"", boneless, with hot sauce, from fast food / restaurant",12.35,20.01,16.85,0.9,5.71,47.89,879,17,0.87,232,45,281.09
"Chicken ""wings"", boneless, with hot sauce, from other sources",11.38,19.95,11.79,1.5,6.08,54.08,829,38,0.87,254,30,231.43
"Chicken ""wings"", plain, from fast food / restaurant",17.74,14.93,21.24,0.3,0.1,43.23,844,61,1.23,219,93,321.84
"Chicken ""wings"", plain, from other sources",17.99,12.57,21.03,0.3,0.11,46.09,729,49,1.18,204,97,311.51
"Chicken ""wings"", plain, from precooked",18.58,7.07,20.55,0.3,0.12,52.76,461,22,1.09,168,107,287.55
"Chicken and noodles with vegetable, dessert, frozen meal",5.62,17.68,4.49,1.3,4.49,70.84,401,15,0.99,128,17,133.61
"Chicken and rice dinner, baby food, strained",1.6,9.2,0.9,1.1,0.55,88.0,25,18,0.2,60,10,51.3
"Chicken and vegetable entree with noodles and cream sauce, frozen meal",8.52,10.79,5.19,0.9,1.64,74.05,379,55,0.78,167,39,123.95
"Chicken and vegetable entree with noodles, diet frozen meal",7.62,9.7,1.88,1.6,2.29,79.6,282,21,0.67,243,23,86.2
"Chicken and vegetable entree with noodles, frozen meal",7.19,13.6,2.06,1.2,3.66,76.09,267,13,0.76,183,21,101.7
"Chicken and vegetable entree with rice, diet frozen meal",10.46,19.64,5.57,0.7,6.43,63.0,359,18,0.95,179,37,170.53
"Chicken and vegetables au gratin with rice, diet frozen entree",10.67,7.37,5.36,0.8,0.88,74.76,496,100,0.86,227,34,120.4
Chicken barbecue sandwich,16.43,26.04,4.55,1.1,5.68,51.28,502,104,1.9,202,51,210.83
"Chicken breast, NS as to cooking method, skin eaten",26.37,0.09,7.67,0.0,0.09,65.19,329,16,0.51,276,90,174.87
"Chicken breast, NS as to cooking method, skin not eaten",28.04,0.0,3.57,0.0,0.0,67.78,328,13,0.46,284,86,144.29
"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",25.67,0.0,10.6,0.0,0.0,61.77,406,7,0.52,291,95,198.08
"Chicken breast, baked or broiled, skin eaten, from pre-cooked",26.37,0.09,7.67,0.0,0.09,65.19,329,16,0.51,276,90,174.87
"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant",29.56,0.0,5.44,0.0,0.0,62.73,430,7,0.44,351,96,167.2
"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",28.04,0.0,3.57,0.0,0.0,67.78,328,13,0.46,284,86,144.29
"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw",25.32,0.31,10.45,0.0,0.28,61.99,399,8,0.55,290,94,196.57
"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw",29.13,0.31,5.38,0.0,0.28,62.92,423,7,0.47,349,94,166.18
"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",26.25,0.0,8.8,0.0,0.0,63.16,336,7,0.53,298,97,184.2
"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",30.22,0.0,3.52,0.0,0.0,64.14,360,7,0.45,359,98,152.56
"Chicken breast, baked, coated, skin / coating eaten",23.73,3.96,9.88,0.2,0.07,60.73,320,11,0.73,269,88,199.68
"Chicken breast, baked, coated, skin / coating not eaten",29.62,0.0,5.45,0.0,0.0,62.85,353,7,0.44,352,96,167.53
"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",24.52,5.95,9.95,0.2,0.1,57.76,318,12,0.75,291,79,211.43
"Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant",19.29,10.65,16.91,0.3,0.1,50.98,549,42,0.96,231,75,271.95
"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",20.54,7.13,14.74,0.3,0.12,55.96,331,14,0.87,233,76,243.34
"Chicken breast, fried, coated, skin / coating eaten, from raw",21.42,5.95,14.07,0.2,0.1,56.99,299,13,0.81,243,79,236.11
"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant",22.73,5.95,10.75,0.2,0.1,58.9,436,25,0.82,249,79,211.47
"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked",29.62,0.0,5.45,0.0,0.0,62.85,353,7,0.44,352,96,167.53
"Chicken breast, fried, coated, skin / coating not eaten, from raw",29.62,0.0,5.45,0.0,0.0,62.85,353,7,0.44,352,96,167.53
"Chicken breast, grilled with sauce, skin eaten",21.15,7.34,9.15,0.2,5.98,60.38,454,12,0.55,280,78,196.31
"Chicken breast, grilled with sauce, skin not eaten",24.33,7.34,4.93,0.2,5.98,61.16,473,11,0.48,329,78,171.05
"Chicken breast, grilled without sauce, skin eaten",25.72,0.0,10.62,0.0,0.0,61.9,329,7,0.53,292,95,198.46
"Chicken breast, grilled without sauce, skin not eaten",29.62,0.0,5.45,0.0,0.0,62.85,353,7,0.44,352,96,167.53
"Chicken breast, rotisserie, skin eaten",26.37,0.09,7.67,0.0,0.09,65.19,329,16,0.51,276,90,174.87
"Chicken breast, rotisserie, skin not eaten",28.04,0.0,3.57,0.0,0.0,67.78,328,13,0.46,284,86,144.29
"Chicken breast, sauteed, skin eaten",25.72,0.0,10.62,0.0,0.0,61.9,329,7,0.53,292,95,198.46
"Chicken breast, sauteed, skin not eaten",29.62,0.0,5.45,0.0,0.0,62.85,353,7,0.44,352,96,167.53
"Chicken breast, stewed, skin eaten",24.7,0.0,8.28,0.0,0.0,65.33,316,7,0.5,280,92,173.32
"Chicken breast, stewed, skin not eaten",27.96,0.0,3.26,0.0,0.0,66.83,333,6,0.41,332,91,141.18
"Chicken chow mein with rice, diet frozen meal",6.03,12.11,1.93,0.7,1.66,78.68,373,14,0.64,130,20,89.93
Chicken cornbread,13.81,9.34,8.14,0.4,0.27,67.33,460,18,1.06,153,108,165.86
Chicken curry,6.47,6.47,6.45,1.4,2.6,79.11,376,20,0.73,280,22,109.81
Chicken curry with rice,4.95,15.08,3.98,1.0,1.58,74.67,323,16,0.92,182,13,115.94
"Chicken dinner, NFS, frozen meal",8.75,13.25,4.28,1.0,1.23,72.22,467,34,0.84,128,34,126.52
"Chicken drumstick, NS as to cooking method, skin eaten",25.65,0.12,11.46,0.0,0.12,61.42,392,22,1.02,279,149,206.22
"Chicken drumstick, NS as to cooking method, skin not eaten",27.71,0.0,6.76,0.0,0.0,64.11,403,20,1.05,291,155,171.68
"Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant",22.66,0.0,11.83,0.0,0.0,64.42,503,11,1.08,240,126,197.11
"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked",25.65,0.12,11.46,0.0,0.12,61.42,392,22,1.02,279,149,206.22
"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant",23.52,0.0,7.51,0.0,0.0,67.86,507,11,1.11,248,126,161.67
"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked",27.71,0.0,6.76,0.0,0.0,64.11,403,20,1.05,291,155,171.68
"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",23.21,0.0,10.09,0.0,0.0,66.0,353,11,1.1,246,129,183.65
"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",24.1,0.0,5.67,0.0,0.0,69.52,358,11,1.13,254,129,147.43
"Chicken drumstick, baked, coated, skin / coating eaten",21.01,3.93,10.98,0.2,0.07,63.08,439,15,1.23,223,115,198.58
"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,0.0,7.53,0.0,0.0,67.99,432,11,1.11,249,126,162.05
"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",19.7,5.9,11.56,0.2,0.1,61.78,443,16,1.28,209,103,206.44
"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant",17.73,12.07,18.72,0.6,0.1,49.06,625,26,1.19,212,91,287.68
"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",18.25,7.07,15.62,0.3,0.12,57.89,479,17,1.29,194,99,241.86
"Chicken drumstick, fried, coated, skin / coating eaten, from raw",19.05,5.91,15.04,0.2,0.1,59.16,363,16,1.25,202,104,235.2
"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant",21.78,6.05,11.18,0.2,0.1,58.84,546,20,1.22,242,109,211.94
"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",23.57,0.0,7.53,0.0,0.0,67.99,432,11,1.11,249,126,162.05
"Chicken drumstick, fried, coated, skin / coating not eaten, from raw",23.61,0.0,7.54,0.0,0.0,68.12,356,11,1.11,249,127,162.3
"Chicken drumstick, grilled with sauce, skin eaten",18.68,7.28,10.15,0.2,5.94,62.46,588,15,1.0,237,103,195.19
"Chicken drumstick, grilled with sauce, skin not eaten",19.39,7.28,6.62,0.2,5.94,65.27,592,15,1.02,245,103,166.26
"Chicken drumstick, grilled without sauce, skin eaten",22.7,0.0,11.85,0.0,0.0,64.55,427,11,1.08,240,126,197.45
"Chicken drumstick, grilled without sauce, skin not eaten",23.57,0.0,7.53,0.0,0.0,67.99,432,11,1.11,249,126,162.05
"Chicken drumstick, rotisserie, skin eaten",25.65,0.12,11.46,0.0,0.12,61.42,392,22,1.02,279,149,206.22
"Chicken drumstick, rotisserie, skin not eaten",27.71,0.0,6.76,0.0,0.0,64.11,403,20,1.05,291,155,171.68
"Chicken drumstick, sauteed, skin eaten",22.7,0.0,11.85,0.0,0.0,64.55,427,11,1.08,240,126,197.45
"Chicken drumstick, sauteed, skin not eaten",23.57,0.0,7.53,0.0,0.0,67.99,432,11,1.11,249,126,162.05
"Chicken drumstick, stewed, skin eaten",22.54,0.0,10.64,0.0,0.0,65.81,417,12,0.93,227,131,185.92
"Chicken drumstick, stewed, skin not eaten",23.71,0.0,5.9,0.0,0.0,69.35,423,12,0.93,237,126,147.94
Chicken egg foo yung,12.86,4.68,7.18,0.3,3.13,73.65,407,37,1.15,175,190,134.78
Chicken feet,19.4,0.2,14.6,0.0,0.0,65.8,67,88,0.91,31,84,209.8
"Chicken fillet biscuit, from fast food",10.78,26.41,19.09,2.0,1.98,40.99,775,51,1.64,205,20,320.57
"Chicken fillet sandwich, NFS",12.17,27.48,13.46,1.7,3.07,44.77,571,77,1.78,209,21,279.74
"Chicken fillet sandwich, NS as to fried or grilled, from fast food",12.17,27.48,13.46,1.7,3.07,44.77,571,77,1.78,209,21,279.74
"Chicken fillet sandwich, fried, from fast food",12.17,27.48,13.46,1.7,3.07,44.77,571,77,1.78,209,21,279.74
"Chicken fillet sandwich, fried, from fast food, with cheese",13.24,24.57,15.4,1.5,2.98,44.25,632,188,1.62,201,30,289.84
"Chicken fillet sandwich, fried, on wheat bun",13.19,26.64,11.71,2.8,2.9,46.35,494,98,1.57,245,21,264.71
"Chicken fillet sandwich, fried, on wheat bun, with cheese",14.16,23.78,13.91,2.5,2.83,45.62,566,208,1.43,232,30,276.95
"Chicken fillet sandwich, fried, on white bun",12.45,28.11,11.67,1.7,3.14,45.8,503,79,1.82,214,21,267.27
