Name,Protein,Carbs,Fat,Fiber,Sugar,Water,Sodium,Calcium,Iron,Potassium,Cholesterol,Calories
"Apple, candied",1.34,29.61,2.15,1.8,24.17,66.3,62,39,0.12,134,2,143.15
"Apple, dried",0.93,65.89,0.32,8.7,57.19,31.76,87,14,1.4,450,0,270.16
"Apple, raw",0.26,13.81,0.17,2.4,10.39,85.56,1,6,0.12,107,0,57.81
"Apple-banana juice, baby food",0.2,12.3,0.1,0.2,11.0,87.1,4,7,0.2,123,0,50.9
"Apple-cherry juice, baby food",0.2,11.2,0.1,0.3,10.5,88.2,4,7,0.35,110,0,46.5
"Apple-fruit juice blend, baby food",0.2,18.1,0.1,0.1,10.58,81.3,8,9,0.95,148,0,74.1
"Apple-grape juice, baby food",0.1,11.34,0.2,0.1,10.9,88.1,0,6,0.39,90,0,47.56
"Apple-peach juice, baby food",0.2,10.5,0.1,0.1,9.59,89.0,0,3,0.56,97,0,43.7
"Apple-prune juice, baby food",0.2,18.1,0.1,0.1,10.58,81.3,8,9,0.95,148,0,74.1
"Apple-raspberry, baby food, NS as to strained or junior",0.2,15.98,0.2,2.0,12.17,83.42,0,5,0.26,72,0,66.52
"Apple-raspberry, baby food, junior",0.2,16.0,0.2,2.0,10.9,83.4,0,5,0.31,68,0,66.6
"Apple-raspberry, baby food, strained",0.2,15.6,0.2,2.1,12.96,83.8,0,5,0.22,80,0,65.0
"Apple-sweet potato juice, baby food",0.3,11.4,0.1,0.5,9.6,87.9,5,15,0.3,137,0,47.7
"Apples and chicken, baby food, strained",2.16,10.88,1.38,1.8,6.06,85.4,12,18,0.38,95,5,64.58
"Apples and pears, baby food, NS as to strained or junior",0.2,10.88,0.12,2.2,8.17,88.58,1,6,0.23,98,0,45.4
"Apples and pears, baby food, junior",0.15,10.95,0.05,2.2,7.91,88.65,1,6,0.24,96,0,44.85
"Apples and pears, baby food, strained",0.25,10.8,0.2,2.2,8.43,88.5,0,6,0.23,100,0,46.0
"Apples and sweet potatoes, baby food, strained",0.3,15.3,0.22,1.4,11.6,84.0,3,8,0.2,149,0,64.38
"Apples with ham, baby food, strained",2.6,10.9,0.9,1.8,7.98,85.3,9,4,0.3,120,8,62.1
"Apples, baby food, toddler",0.19,11.56,0.36,1.9,10.48,87.68,2,4,0.08,86,0,50.24
"Applesauce and apricots, baby food, NS as to strained or junior",0.2,12.02,0.2,1.8,8.98,87.3,0,6,0.26,114,0,50.68
"Applesauce and apricots, baby food, junior",0.2,12.4,0.2,1.8,8.72,86.9,0,6,0.26,109,0,52.2
"Applesauce and apricots, baby food, strained",0.2,11.64,0.2,1.8,9.25,87.7,0,6,0.25,120,0,49.16
"Applesauce with bananas, baby food, NS as to strained or junior",0.37,16.16,0.1,1.6,4.35,83.14,3,5,0.24,131,0,67.02
"Applesauce with bananas, baby food, junior",0.37,16.16,0.1,1.6,4.35,83.14,3,5,0.24,131,0,67.02
"Applesauce with bananas, baby food, strained",0.37,16.16,0.1,1.6,4.35,83.14,3,5,0.24,131,0,67.02
"Applesauce with cherries, baby food, NS as to strained or junior",0.0,14.1,0.0,1.1,10.71,85.62,1,1,0.3,132,0,56.4
"Applesauce with cherries, baby food, junior",0.0,14.1,0.0,1.1,10.61,85.6,1,1,0.3,132,0,56.4
"Applesauce with cherries, baby food, strained",0.0,14.1,0.0,1.1,10.81,85.63,1,1,0.3,132,0,56.4
"Applesauce, baby food, NS as to strained or junior",0.1,10.55,0.1,1.7,9.18,89.05,0,4,0.22,74,0,43.5
"Applesauce, baby food, junior",0.0,10.3,0.0,1.7,8.48,89.5,1,5,0.22,77,0,41.2
"Applesauce, baby food, strained",0.2,10.8,0.2,1.7,9.87,88.6,0,4,0.22,71,0,45.8
"Applesauce, flavored",0.16,17.49,0.17,1.2,14.67,81.98,2,3,0.12,75,0,72.13
"Applesauce, regular",0.16,17.49,0.17,1.2,14.67,81.98,2,3,0.12,75,0,72.13
"Applesauce, unsweetened",0.17,11.27,0.1,1.1,9.39,88.22,2,4,0.23,74,0,46.66
Apricot nectar,0.17,13.63,0.45,0.1,12.79,85.63,8,11,0.1,67,0,59.25
"Apricot, canned",0.65,13.85,0.17,1.5,12.39,84.97,3,7,0.3,177,0,59.53
"Apricot, dried",3.39,62.64,0.51,7.3,53.44,30.89,10,55,2.66,1162,0,268.71
"Apricot, raw",1.4,11.12,0.39,2.0,9.24,86.35,1,13,0.39,259,0,53.59
"Apricots, baby food, NS as to strained or junior",0.3,16.8,0.0,1.5,1.4,82.6,0,8,0.28,123,0,68.4
"Apricots, baby food, junior",0.3,17.3,0.0,1.5,1.4,82.1,0,8,0.27,125,0,70.4
"Apricots, baby food, strained",0.3,16.3,0.0,1.5,1.41,83.1,0,9,0.3,121,0,66.4
Arepa Dominicana,5.68,30.45,13.94,2.4,3.27,47.98,401,83,2.32,202,48,269.98
"Armadillo, cooked",28.18,0.0,4.36,0.0,0.0,63.6,222,16,1.12,394,77,151.96
Artichoke dip,3.65,5.47,33.12,0.9,2.08,55.65,601,101,0.24,120,39,334.56
"Artichoke, canned, cooked, fat added",2.81,11.57,2.87,5.5,0.96,81.72,180,21,0.59,277,2,83.35
"Artichoke, canned, cooked, no added fat",2.88,11.91,0.34,5.7,0.99,83.83,176,21,0.61,285,0,62.22
"Artichoke, fresh, cooked, fat added",2.81,11.57,2.87,5.5,0.96,81.72,180,21,0.59,277,2,83.35
"Artichoke, fresh, cooked, no added fat",2.88,11.91,0.34,5.7,0.99,83.83,176,21,0.61,285,0,62.22
"Artichoke, frozen, cooked, fat added",2.81,11.57,2.87,5.5,0.96,81.72,180,21,0.59,277,2,83.35
"Artichoke, frozen, cooked, no added fat",2.88,11.91,0.34,5.7,0.99,83.83,176,21,0.61,285,0,62.22
"Artichoke, raw",2.89,11.95,0.34,5.7,0.99,84.08,60,21,0.61,286,0,62.42
"Artichokes, NS as to form, cooked",2.81,11.57,2.87,5.5,0.96,81.72,180,21,0.59,277,2,83.35
"Artichokes, stuffed",5.34,22.25,5.94,3.9,2.13,64.78,403,84,1.45,218,3,163.82
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",10.36,7.91,5.27,1.9,2.97,75.54,165,46,1.16,269,24,120.51
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",11.53,9.42,5.4,2.0,2.97,72.77,174,43,1.24,265,27,132.4
"Asian stir fry vegetables, cooked, fat added",2.09,9.55,2.82,2.9,3.6,84.54,142,37,1.08,258,2,71.94
"Asian stir fry vegetables, cooked, no added fat",2.14,9.83,0.28,2.9,3.71,86.74,136,38,1.1,266,0,50.4
"Asparagus soup, cream of, NS as to made with milk or water",2.58,6.7,2.63,0.2,2.8,86.54,355,74,0.32,147,6,60.79
"Asparagus soup, cream of, prepared with milk",2.58,6.7,2.63,0.2,2.8,86.54,355,74,0.32,147,6,60.79
"Asparagus soup, cream of, prepared with water",0.93,4.34,1.66,0.2,0.37,91.83,342,13,0.33,70,2,36.02
"Asparagus, NS as to form, cooked",2.3,4.04,2.85,2.2,1.96,89.86,133,25,2.23,211,2,51.01
"Asparagus, canned, cooked with butter or margarine",2.09,2.4,2.81,1.6,1.03,91.9,298,16,1.78,168,4,43.25
"Asparagus, canned, cooked with oil",2.08,2.39,3.54,1.6,1.03,91.24,279,16,1.78,167,0,49.74
"Asparagus, canned, cooked, fat added, NS as to fat type",2.09,2.39,3.18,1.6,1.03,91.57,288,16,1.78,167,2,46.54
"Asparagus, canned, cooked, no added fat",2.14,2.46,0.65,1.6,1.06,93.98,287,16,1.83,172,0,24.25
"Asparagus, fresh, cooked with butter or margarine",2.31,4.05,2.46,2.2,1.96,90.22,144,26,2.23,211,4,47.58
"Asparagus, fresh, cooked with oil",2.29,4.04,3.25,2.2,1.96,89.51,123,25,2.23,210,0,54.57
"Asparagus, fresh, cooked, fat added, NS as to fat type",2.3,4.04,2.85,2.2,1.96,89.86,133,25,2.23,211,2,51.01
